timestamp,frame,L_knee,R_knee,L_hip,R_hip
2026-05-25T19:48:40.948,329,179.2,179.36,177.71,171.18
2026-05-25T19:48:41.070,330,179.31,179.68,177.84,170.93
2026-05-25T19:48:41.295,331,179.2,179.7,177.99,170.9
2026-05-25T19:48:41.550,332,179.37,179.87,178.26,170.86
2026-05-25T19:48:41.662,333,179.15,179.94,178.71,171.55
2026-05-25T19:48:41.816,334,179.19,179.65,178.84,171.61
2026-05-25T19:48:41.907,335,179.34,179.58,179.1,172.32
2026-05-25T19:48:41.997,336,179.37,179.43,178.85,172.69
2026-05-25T19:48:42.163,337,179.8,179.11,179.22,173.03
2026-05-25T19:48:42.303,338,179.33,179.36,178.88,172.14
2026-05-25T19:48:42.416,339,179.54,179.37,178.32,171.93
2026-05-25T19:48:42.530,340,179.26,179.23,179.12,171.79
2026-05-25T19:48:42.654,341,179.42,179.51,178.96,170.61
2026-05-25T19:48:42.762,342,179.8,179.55,179.35,171.41
2026-05-25T19:48:42.867,343,179.98,179.2,179.36,171.83
2026-05-25T19:48:42.963,344,179.59,179.64,178.77,171.19
2026-05-25T19:48:43.066,345,179.2,179.17,179.63,171.65
2026-05-25T19:48:43.165,346,179.56,176.41,179.54,169.52
2026-05-25T19:48:43.305,347,179.43,179.69,179.19,171.58
2026-05-25T19:48:43.420,348,179.43,179.83,179.19,171.69
2026-05-25T19:48:43.573,349,179.8,179.05,179.65,170.41
2026-05-25T19:48:44.120,350,179.48,179.57,178.98,170.93
2026-05-25T19:48:44.238,351,179.34,177.56,177.53,168.37
2026-05-25T19:48:44.325,352,179.41,177.77,176.84,169.11
2026-05-25T19:48:44.437,353,179.75,178.09,177.7,169.44
2026-05-25T19:48:44.530,354,179.92,178.55,177.96,170.67
2026-05-25T19:48:44.646,355,179.8,178.72,178.0,171.17
2026-05-25T19:48:44.750,356,179.72,179.76,177.98,171.77
2026-05-25T19:48:44.849,357,179.56,179.94,177.88,171.09
2026-05-25T19:48:44.960,358,179.36,179.86,177.18,170.56
2026-05-25T19:48:45.066,359,178.83,178.1,177.08,169.26
2026-05-25T19:48:45.277,360,179.38,179.52,177.83,169.93
2026-05-25T19:48:45.379,361,179.09,179.68,177.14,170.52
2026-05-25T19:48:45.512,362,179.58,179.04,177.57,171.22
2026-05-25T19:48:45.636,363,178.23,179.84,176.9,170.42
2026-05-25T19:48:45.727,364,178.61,179.84,177.27,170.33
2026-05-25T19:48:45.832,365,178.61,179.67,177.45,170.54
2026-05-25T19:48:45.937,366,178.09,179.01,177.32,170.56
2026-05-25T19:48:46.044,367,178.55,179.92,178.11,171.77
2026-05-25T19:48:46.151,368,178.65,179.01,178.71,172.88
2026-05-25T19:48:46.254,369,179.78,178.37,179.59,173.63
2026-05-25T19:48:46.353,370,179.45,178.41,179.38,173.5
2026-05-25T19:48:46.429,371,179.78,178.58,179.99,172.91
2026-05-25T19:48:46.519,372,179.9,179.86,179.89,172.63
2026-05-25T19:48:46.611,373,179.45,179.66,179.33,170.97
2026-05-25T19:48:46.720,374,178.73,179.25,179.72,172.37
2026-05-25T19:48:46.823,375,179.11,178.21,177.53,173.65
2026-05-25T19:48:46.938,376,178.93,177.69,177.43,173.16
2026-05-25T19:48:47.038,377,178.39,176.46,176.96,172.4
2026-05-25T19:48:47.145,378,178.66,176.2,177.69,170.71
2026-05-25T19:48:47.296,379,178.61,177.21,177.95,170.62
2026-05-25T19:48:47.413,380,178.73,177.49,177.96,169.66
2026-05-25T19:48:47.533,381,178.95,178.4,177.57,170.97
2026-05-25T19:48:47.624,382,179.37,179.33,177.81,170.53
2026-05-25T19:48:47.721,383,179.06,179.36,177.65,170.11
2026-05-25T19:48:47.818,384,179.04,179.15,177.47,170.55
2026-05-25T19:48:47.937,385,179.01,178.77,177.33,170.55
2026-05-25T19:48:48.040,386,179.01,178.21,177.33,170.02
2026-05-25T19:48:48.157,387,178.8,178.68,177.15,170.33
2026-05-25T19:48:48.254,388,177.83,177.2,176.65,170.65
2026-05-25T19:48:48.339,389,177.77,177.38,176.41,171.44
2026-05-25T19:48:48.460,390,177.99,178.6,176.35,171.77
2026-05-25T19:48:48.587,391,178.0,178.06,176.12,170.91
2026-05-25T19:48:48.707,392,178.32,177.9,176.08,169.77
2026-05-25T19:48:48.787,393,178.46,177.94,175.94,169.72
2026-05-25T19:48:48.904,394,177.44,177.38,176.36,169.42
2026-05-25T19:48:48.998,395,177.61,178.21,175.97,170.76
2026-05-25T19:48:49.114,396,178.13,178.54,175.52,171.43
2026-05-25T19:48:49.228,397,178.03,177.93,175.6,171.4
2026-05-25T19:48:49.326,398,178.57,178.46,175.32,171.83
2026-05-25T19:48:49.412,399,178.4,178.51,175.18,172.07
2026-05-25T19:48:49.511,400,178.91,179.17,174.84,172.38
2026-05-25T19:48:49.603,401,178.81,178.21,175.3,170.99
2026-05-25T19:48:49.717,402,178.64,179.08,175.73,171.55
2026-05-25T19:48:49.843,403,178.36,178.28,175.24,171.45
2026-05-25T19:48:49.944,404,178.23,177.95,175.31,171.39
2026-05-25T19:48:50.037,405,178.03,178.3,175.44,171.55
2026-05-25T19:48:50.133,406,178.04,178.12,175.03,171.66
2026-05-25T19:48:50.230,407,178.7,178.52,174.86,171.07
2026-05-25T19:48:50.323,408,179.09,178.34,175.76,170.87
